,lat,lon
183,53.344990499999994,-6.3275235
184,53.345032,-6.327664
185,53.3450735,-6.327804500000001
186,53.3451035,-6.3279075
187,53.3451035,-6.3279075
188,53.3451405,-6.3280385
189,53.345166000000006,-6.328132
190,53.3452025,-6.3282675
191,53.345228,-6.328361
192,53.3452535,-6.3284545
193,53.345279000000005,-6.3285480000000005
194,53.3453155,-6.3286835
195,53.3453475,-6.328824
196,53.3453685,-6.3289225
197,53.345389499999996,-6.329021000000001
198,53.345389499999996,-6.329021000000001
199,53.3454,-6.329096
200,53.345404,-6.329124
201,53.3454145,-6.329199000000001
202,53.345418499999994,-6.329227
203,53.345428999999996,-6.329302
204,53.3454395,-6.329377
205,53.3454435,-6.3294049999999995
206,53.345454,-6.32948
207,53.345457999999994,-6.329508000000001
208,53.345468499999996,-6.329583
209,53.345468499999996,-6.329583
210,53.3454835,-6.3297435
211,53.34549199999999,-6.3298570000000005
212,53.3455005,-6.3299705
213,53.345509,-6.330083999999999
214,53.3455175,-6.3301975
215,53.34552599999999,-6.330311
216,53.3455345,-6.3304245
217,53.345543,-6.330538000000001
218,53.345556,-6.330705
219,53.34556,-6.3307649999999995
220,53.34556,-6.3307649999999995
221,53.345579,-6.330899
222,53.345606000000004,-6.3310955
223,53.345625,-6.331229500000001
224,53.34564399999999,-6.3313635
225,53.345663,-6.331497499999999
226,53.345682,-6.3316315
227,53.345701000000005,-6.3317655
228,53.345727999999994,-6.331962000000001
229,53.345738999999995,-6.3320335
230,53.34577,-6.3322
231,53.34577,-6.3322
232,53.3457905,-6.3322970000000005
233,53.345811,-6.332394000000001
234,53.3458315,-6.332491
235,53.345852,-6.332588
236,53.3458725,-6.332685
237,53.345893000000004,-6.332782
238,53.3459135,-6.332879
239,53.345940999999996,-6.333033
240,53.3459585,-6.3331395
241,53.345969,-6.333189
242,53.345969,-6.333189
243,53.345977500000004,-6.333276
244,53.345979,-6.333306
245,53.3459875,-6.333393
246,53.345996,-6.33348
247,53.345997499999996,-6.33351
248,53.346006,-6.333597
249,53.3460075,-6.333627
250,53.346016,-6.3337140000000005
251,53.3460175,-6.333744
252,53.346025999999995,-6.333831
253,53.346025999999995,-6.333831
254,53.346024,-6.3338595
255,53.346029,-6.333945
